mass,damping,speed,scale,group,value,end_time,stop,theta_peak,r_peak,chi_peak,near_zero,final_theta,final_r,final_chi,force_peak,torque_peak
2.3,6.5,2.375,0.5,chi,1,30,0,0.0121677109602401,0.000226562461580957,1.0000053784928,1,6.38747045288907e-05,-1.19954034445566e-06,0.00149420685370562,0.00428630065266945,1.21915090819546e-07
2.3,6.5,2.375,0.5,chi,5,30,0,0.0601524351227463,0.00111956813931272,5.00002689246401,0,0.00110209684956861,-2.06445731417109e-05,0.0321551118279881,0.0211750538083458,3.01328243255334e-06
2.3,6.5,2.375,0.5,chi,10,30,0,0.116845988194926,0.00217226489587153,10.000053784928,0,0.00518146199130473,-9.70054518231518e-05,0.174051106114779,0.0410557584331518,1.16695131062045e-05
2.3,6.5,2.375,1,r,0.001,30,0,0.512056731612524,0.00904159000291687,8.25484480758914,1,-6.32994102672775e-06,-1.1371969796109e-07,-0.0529643177138132,0.164712666839086,0.000241394432073204
2.3,6.5,2.375,1,r,0.005,4.86420335473008,2,27.9398800272512,0.500000000000103,37.5822028175512,0,-27.9398800272512,0.500000000000103,-20.9424481988121,20.3436016316705,0.00617978385265695
2.3,6.5,2.375,1,r,0.01,2.80507683169557,2,34.1920949633206,0.5,58.446644936264,0,34.1920949633206,-0.5,29.9508119060898,17.5861721937404,0.0107152074041945
2.3,6.5,2.375,1,chi,1,30,0,0.024459594311429,0.00045120365487265,1.00011098581366,1,2.29436986193172e-09,-2.52506483113546e-11,4.27684200838797e-06,0.00846237444279911,6.14362618105779e-07
2.3,6.5,2.375,1,chi,5,30,0,0.122139326591674,0.00225215101689245,5.00055492906772,1,1.03349855001874e-07,3.74331716053142e-10,0.000531618611252557,0.0422312284722276,1.53135989511864e-05
2.3,6.5,2.375,1,chi,10,30,0,0.243334562780948,0.00448122028539477,10.0011098581317,1,7.84076559533402e-07,3.70904697784052e-09,0.00422754178764753,0.0839808237598109,6.07023770416101e-05
2.3,6.5,2.375,2,r,0.001,30,0,0.150949569024172,0.00230995518457475,1.24389577071555,1,4.93571226705273e-08,7.40216614425774e-10,-1.23713425355184e-06,0.0490529476168052,1.23165773366535e-05
2.3,6.5,2.375,2,r,0.005,30,0,0.757972430433284,0.0115804768239305,6.25993921612541,1,6.43417042710047e-06,9.64942766411632e-08,-0.000161272217601205,0.245345916491375,0.000310682106370928
2.3,6.5,2.375,2,r,0.01,30,0,1.53667146041428,0.0233613929292692,12.7838394601423,1,5.86615001789196e-05,8.79755842040868e-07,-0.00147034809291307,0.491247360732416,0.00127905009804528
2.3,6.5,2.375,2,chi,1,30,0,0.049840845676655,0.000885721133048454,1.00167031981866,1,5.07337942599032e-09,7.60862777063488e-11,-1.27164047040833e-07,0.016052004185966,2.37716571154964e-06
2.3,6.5,2.375,2,chi,5,30,0,0.249499313981338,0.00443179822521187,5.00835159710261,1,6.35528455218719e-07,9.53112126550255e-09,-1.5929494640513e-05,0.0803141552803511,5.95304744174e-05
2.3,6.5,2.375,2,chi,10,30,0,0.500875897029233,0.0088836756921469,10.0167031817636,1,5.11841453594504e-06,7.6761676400819e-08,-0.000128292850213581,0.160971116917371,0.000239408057213097
